voter,role,country,gender,voter_url
David Leland,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/926
Pierre Leon,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1131
Nanouk Leopold,director,Netherlands,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1088
Richard Lester,director,US/UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1145
Jørgen Leth,director,Denmark,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1004
Ying Liang,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1201
Kevin MacDonald,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1022
Tiago Mata Machado,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1185
Gillies Mackinnon,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/957
Guy Maddin,director,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/963
Shinozaki Makoto,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1168
Milcho Manchevski,director,Macedonia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1077
Michael Mann,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1069
Måns Månsson,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1048
Pia Marais,director,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1130
Karl Markovics,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1018
James Marsh,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/980
Raya Martin,director,Philippines,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1140
Khalo Matabane,director,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1024
John Michael McDonagh,director,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1001
Martin McDonagh,director,Ireland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1057
John McNaughton,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1000
Steve McQueen,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1176
Fernando Meirelles,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/947
Sam Mendes,director,UK/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1157
Josué Méndez,director,Peru,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1010
Kleber Mendonça Filho,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1026
Jiri Menzel,director,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/994
Saul Metzstein,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1163
Roger Michell,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1151
David Michôd,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/927
Luis Miñarro,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1040
Mingchuam Huang,director,Taiwan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1078
Tsai Ming-Liang,director,Taiwan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1187
Santiago Mitre,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1160
Christine Molloy,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/913
Lukas Moodysson,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1041
Carol Morley,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/906
Samantha Morton,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1158
Bahman Motamedian,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/893
Greg Mottola,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/960
Manuel Mozos,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1050
Matthias Müller,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1062
Marc Munden,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1051
Celina Murga,director,Argentina,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/908
Raphael Nadjari,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1137
Najwa Najjar,director,Palestine/Jordan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1087
Gerardo Naranjo,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/955
Shirin Neshat,director,Iran/US,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1169
Daniel Nettheim,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/922
Mike Newell,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1076
Jeff Nichols,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/991
Angelina Nikonova,director,Russia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/874
Gaspar Noé,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/953
Garin Nugroho,director,Indonesia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/951
Sharmeen Obaid-Chinoy,director,Pakistan,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1166
Akin Omotoso,director,Nigeria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/854
Horace Ové,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/973
Laila Pakalnina,director,Latvia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1030
György Pálfi,director,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/964
David Panos,director,UK/Greece,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/929
Philippe Parreno,director,Algeria/France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1129
Pawel Pawlikowski,director,UK/Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1114
Babak Payami,director,Iran,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/892
Ron Peck,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1153
Edgar Pêra,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/933
Chris Petit,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/911
Norbert Pfaffenbichler,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1094
Nicolas Philibert,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1092
Matías Piñeiro,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1060
Amos Poe,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/862
Ventura Pons,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1191
Constantin Popescu,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/916
Alexei Popogrebsky,director,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/857
Pere Portabella,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1118
Corneliu Porumboiu,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/917
Sanjeewa Pushpakumara,director,Sri Lanka,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1159
William Raban,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1199
Raqs Media Collective,director,India,,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1138
Pen-Ek Ratanaruang,director,Thailand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1117
Javier Rebollo,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/985
Raymond Red,director,Philippines,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1141
Carlos Reygadas,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/905
Emily Richardson,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/937
Arturo Ripstein,director,Mexico,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/885
Ben Rivers,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/897
Riri Riza,director,Indonesia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1147
Bruce Robinson,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/904
Mark Romanek,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1055
Darrell James Roodt,director,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/924
Roee Rosen,director,Israel/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1150
Jean-Claude Rousseau,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/987
Patricia Rozema,director,Canada,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1105
Simon Rumley,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1170
Ben Russell,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/898
David O. Russell,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/928
Ira Sachs,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/975
Benjamin Safdie,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/900
Josh Safdie,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1009
Walter Salles,director,Brazil,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1194
Hong Sangsoo,director,South Korea,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/972
Zina Saro-Wiwa,director,UK/Nigeria,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1203
Jean-Stephane Sauvaire,director,France,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/990
Lone Scherfig,director,Denmark,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1038
Minky Schlesinger,director,South Africa,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1079
Oliver Schmitz,director,South Africa,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1098
Paul Schrader,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1111
Martin Scorsese,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1058
Ulrich Seidl,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1189
Allan Sekula,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/858
Petra Seliskar,director,Slovenia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1127
Farai Sevenzo,director,Zimbabwe,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/944
Chris Shepherd,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/912
Shinji Aoyama,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1167
Cate Shortland,director,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/907
Dāvis Sīmanis,director,Latvia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/930
Erik Skjoldbjærg,director,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/940
Kazuhiro Soda,director,Japan/US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1019
Sion Sono,director,Japan,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1171
Götz Spielmann,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/959
Isabelle Stever,director,Germany,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/976
Whit Stillman,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1197
Ruben Östlund,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1155
Pablo Stoll,director,Uruguay,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1103
Audrius Stonys,director,Lithuania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/890
Peter Strickland,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1122
Anocha Suwichakornpong,director,Thailand,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/879
Jan Svěrák,director,Czech Republic,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/982
Ognjen Svilicic,director,Croatia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1096
Joe Swanberg,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/998
Malgorzata Szumowska,director,Poland,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1044
Mika Taanila,director,Finland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1072
Patrick Tam,director,Hong Kong,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1108
Quentin Tarantino,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1134
Gary Tarn,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/952
Béla Tarr,director,Hungary,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/895
Rudolf Thome,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1156
Warwick Thornton,director,Australia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1196
Jamie Thraves,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/981
Paul Tickell,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1112
Gonçalo Tocha,director,Portugal,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/958
Peter Todd,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1123
Pimpaka Towira,director,Thailand,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1132
Pablo Trapero,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1104
Joachim Trier,director,Norway,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/995
Jan Troell,director,Sweden,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/983
Athina Rachel Tsangari,director,Greece,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/888
Peter Tscherkassky,director,Austria,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1124
Pema Tseden,director,Tibet,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1116
Ann Turner,director,Australia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/877
Sarah Turner,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1162
Andrei Ujica,director,Romania,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/864
Slobodan Valentinčič,director,Slovenia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1172
Jean-Marc Vallée,director,Canada,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/988
Matthew Vaughn,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1061
Federico Veiroj,director,Uruguay,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/945
Daniel V Villamediana,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/923
Juan Villegas,director,Argentina,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1014
Paulino Viota,director,Spain,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1113
Peter von Bagh (director),director,Finland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1125
Laura Waddington,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1031
Emily Wardill,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/938
Gillian Wearing,director,UK,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/956
Marc Webb,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1052
Apichatpong Weerasethakul,director,Thailand,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/883
Maja Weiss,director,Slovenia,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1042
Zhu Wen,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1202
Peter Whitehead,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1126
Billy Woodberry,director,US,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/901
Richard Woolley,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1146
Edgar Wright,director,UK,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/934
Klaus Wyborny,director,Germany,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1025
Keren Yedaya,director,Israel,Female,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1021
Ho Yuhang,director,Malaysia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/971
Krzysztof Zanussi,director,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/1028
Alexander Zeldovich,director,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/856
Chadi Zeneddine,director,Lebanon,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/909
Cui Zi'en,director,China,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/919
Andrzej Żuławski,director,Poland,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/873
Andrey Zvyagintsev,director,Russia,Male,https://www2.bfi.org.uk/films-tv-people/sightandsoundpoll2012/voter/872
